Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,2,4,3,30,0,0,0,-1.7030090332031023,7.664208984375023,958.1800537109375,51.5210075378418,9.761971473693848,78.82781219482422,4.90041446685791
2005,2,4,4,0,0,0,0,-1.7338012695312273,7.640954589843773,958.0801391601562,51.48596954345703,9.932785987854004,77.45470428466797,4.86513614654541
2005,2,4,4,30,0,0,0,-1.7333435058593523,7.606072998046898,958.0921020507812,51.610313415527344,10.132575035095215,77.45470428466797,4.834071159362793
2005,2,4,5,0,0,0,0,-1.7328857421874773,7.571191406250023,958.1040649414062,51.73500061035156,10.332364082336426,76.80435180664062,4.803006172180176
2005,2,4,5,30,0,0,0,-1.7231811523437273,7.542230224609398,958.2469482421875,51.8742561340332,10.517568588256836,76.80435180664062,4.781006813049316
2005,2,4,6,0,0,0,0,-1.7135070800781023,7.513238525390648,958.389892578125,52.014015197753906,10.70277214050293,76.6415786743164,4.759006977081299
2005,2,4,6,30,0,0,0,-1.5829223632812273,7.813104248046898,958.4349365234375,51.453346252441406,10.868904113769531,76.6415786743164,4.745389938354492
2005,2,4,7,0,0,0,0,-1.4534973144531023,8.112939453125023,958.47998046875,50.89640808105469,11.035035133361816,76.96916198730469,4.731773376464844
2005,2,4,7,30,0,0,0,-1.1454833984374773,9.365014648437523,958.681396484375,47.835365295410156,11.21194839477539,76.96916198730469,4.506546497344971
2005,2,4,8,0,32,478,88,-0.8446716308593523,10.617059326171898,958.8828125,44.96973419189453,11.388860702514648,77.44133758544922,4.281319618225098
